abandon,freedom from artificial constraint
prospect,a sketch of a landscape
prosperity,advance or gain in anything good or desirable
protection,a pass
protector,a regent
protest,"a declaration made by the master of a vessel before a notary , consul , or other authorized officer , upon his arrival in port after a disaster , stating the particulars of it , and showing that any damage or loss sustained was not owing to the fault of the vessel , her officers or crew , but to the perils of the sea , etc"
proverb,a phrase which is often repeated
providence,care
province,a district
provincial,a person belonging to a province
provision,a stock of food
provocation,"the act of provoking , or causing vexation or , anger"
proximity,"immediate nearness , either in place , blood , or alliance"
prudence,discretion
psychology,the science of the human soul
publication,the act of publishing or making known
public,"the general body of mankind , or of a nation , state , or community"
publisher,one who publishes
pudding,"a species of food of a soft or moderately hard consistence , variously made , but often a compound of flour or meal , with milk and eggs , etc"
puff,anything light and filled with air
pull,a struggle
pulpit,"an elevated place , or inclosed stage , in a church , in which the clergyman stands while preaching"
pulse,oscillation
pump,a low shoe with a thin sole
punch,the buffoon or harlequin of a puppet show
punctuation,"the art or mode of dividing literary composition into sentences , and members of a sentence , by means of points , so as to elucidate the author ' s meaning"
punishment,the act of punishing
pupil,a person under a guardian
purchase,property
puritan,one who is scrupulous and strict in his religious life
purity,the condition of being pure
purple,"royal rank , dignity , or favor"
purpose,plan
purse,"a sum of money offered as a prize , or collected as a present"
pursuit,prosecution
push,an attempt
put,a push
putting,"the throwing of a heavy stone , shot , etc"
puzzle,a toy or a problem contrived for testing ingenuity
quality,the condition of being of such and such a sort as distinguished from others
quantity,its content or comprehension that is the number of its constituent qualities attributes or relations
quarrel,"an antagonism in opinion , feeling , or conduct"
quarry,the animal hunted for
quarter,"the fourth part of the moon ' s period , or monthly revolution"
quart,the eighth part of a peck
quay,"a mole , bank , or wharf , formed toward the sea , or at the side of a harbor , river , or other navigable water , for convenience in loading and unloading vessels"
queen,the highest of her kind
queer,counterfeit money
question,investigation
quest,request
quick,a vital part
quickness,celerity
quiet,stillness
quit,any one of numerous species of small passerine birds native of tropical america
quiver,a case or sheath for arrows to be carried on the person
quotation,that which is quoted or cited
rabble,a medley of voices
race,a variety of such fixed character that it may be propagated by seed
rack,same as arrack
radiance,brilliancy
radiant,a body radiating light brightly
