abandon,freedom from artificial constraint
populace,the vulgar
popularity,the state of being esteemed by or of being in favor with the people at large
population,"the whole number of people , or inhabitants , in a country , or portion of a country"
porch,"a covered and inclosed entrance to a building , whether taken from the interior , and forming a sort of vestibule within the main wall , or projecting without and with a separate roof"
pork,"the flesh of swine , fresh or salted , used for food"
port,a harbor
porter,a doorkeeper
portion,"a part considered by itself , though not actually cut off or separated from the whole"
portrait,"the likeness of a person , painted , drawn , or engraved"
pose,the position of the body or of any member of the body
position,the spot where a person or thing is placed or takes a place
positive,that which is capable of being affirmed
possession,"in the plural , property in the aggregate"
possessor,"one who occupies , holds , owns , or controls"
possibility,that which is possible
post,"a station , or one of a series of stations , established for the refreshment and accommodation of travelers on some recognized route"
posterity,succeeding generations
posture,mood
pot,a mug
potato,"a plant of the nightshade family , and its esculent farinaceous tuber , of which there are numerous varieties used for food"
potent,one of the furs
pound,a certain specified weight
pour,"a stream , or something like a stream"
poverty,need
powder,"an explosive mixture used in gunnery , blasting , etc"
power,fitness to be acted upon
practice,habitual performance
prairie,a meadow or tract of grass
praise,approval expressed
prayer,"the offering of adoration , confession , supplication , and thanksgiving to the supreme being"
preaching,the act of delivering a religious discourse
precaution,caution previously employed to prevent mischief or secure good
precedent,something done or said that may serve as an example to authorize a subsequent act of the same kind
precipice,an abrupt declivity
precipitate,same as precipitation { 5
precision,the quality or state of being precise
predecessor,"one whom another follows or comes after , in any office or position"
preface,"something spoken as introductory to a discourse , or written as introductory to a book or essay"
preference,higher estimation
prejudice,damage
preliminary,"that which precedes the main discourse , work , design , or business"
preparation,a making ready
presence,"the state of being present , or of being within sight or call , or at hand"
presentation,show
present,"” -- in this sense , rarely used in the singular"
preservation,"the act or process of preserving , or keeping safe"
preserve,"fruit , etc"
president,"the chief officer of a corporation , company , institution , society , or the like"
press,the art or business of printing and publishing
pressure,a contrasting force or impulse of any kind
prestige,expectation of future achievements founded on those already accomplished
pretext,disguise
prey,spoil
price,"that for which something is bought or sold , or offered for sale"
pride,proud delight
priest,a presbyter
priesthood,the priestly function
primary,a chief matter
prime,the earliest stage
primitive,an original or primary word
prince,in spain he is always one of the royal family
princess,a female prince
principal,one who takes the lead
principle,a general truth
print,a mark made by impression
printing,typography
prior,"the superior of a priory , and next below an abbot in dignity"
