abandon,careless freedom or ease
reflection,also that operation or power of the mind by which it is conscious of its own acts or states
refreshment,that which refreshes
refuge,an expedient to secure protection or defense
refuse,waste or worthless matter
regard,affection
regard,a look
regard,observation
regard,respect
regard,reverence
region,district
register,a written account or entry
regret,a mourning on account of the loss of some joy advantage or satisfaction
regret,"pain of mind on account of something done or experienced in the past , with a wish that it had been different"
regular,"a member of any religious order or community who has taken the vows of poverty , chastity , and obedience , and who has been solemnly recognized by the church"
regular,a soldier belonging to a permanent or standing army
regularity,the condition or quality of being regular
regulation,prescription
reign,royal authority
rejection,"act of rejecting , or state of being rejected"
rejoicing,the expression of joy or gladness
relation,relative quality or condition
relative,"one who , or that which , relates to , or is considered in its relation to , something else"
release,"relief from care , pain , or any burden"
reliance,dependence
relic,a remaining portion
relic,a remnant
relic,that which remains
relic,the body from which the soul has departed
relish,savor
reluctance,the state or quality of being reluctant
remedy,any medicine or application which puts an end to disease and restores health
remedy,"the legal means to recover a right , or to obtain redress for a wrong"
remorse,sympathetic sorrow
remove,the act of removing
render,a return
rendezvous,the appointed place for troops or for the ships of a fleet to assemble
renown,praise
renown,report of nobleness or exploits
repair,reparation
repair,supply of loss
repast,that which is taken as food
repetition,rehearsal
report,a rumor
repose,freedom from uneasiness
repose,quiet
repose,rest of mind
representation,"the act of representing , in any sense of the verb"
representative,"an agent , deputy , or substitute , who supplies the place of another , or others , being invested with his or their authority"
reproach,a cause of blame or censure
reproach,censure mingled with contempt
reproduction,the process by which plants and animals give rise to offspring
reproduction,the state of being reproduced
reproof,blame expressed to the face
reproof,reproach
reputation,the character imputed to a person in the community in which he lives
repute,"reputation , whether good or bad"
request,a state of being desired or held in such estimation as to be sought after or asked for
request,petition
request,prayer
research,diligent inquiry or examination in seeking facts or principles
resemblance,"that which resembles , or is similar"
reserve,reservation
residence,a settled or permanent home or domicile
residence,the residing of an incumbent on his benefice
resistance,a means or method of resisting
resistance,that which resists
resistance,the quality of not yielding to force or external pressure
resolution,steadiness
resolution,"the act of analyzing a complex notion , or solving a vexed question or difficult problem"
resolve,a resolution
resolve,decisive conclusion
resort,resource
resort,the act of visiting or seeking
respectability,the state or quality which deserves or commands respect
respect,honor
respite,pause
respite,reprieve
responsibility,means of paying
responsibility,that for which anyone is responsible or accountable
rest,a cessation from motion or labor
restaurant,an eating house
restoration,renewal
restoration,"the act of restoring or bringing back to a former place , station , or condition"
restoration,the fact of being restored
rest,peace
rest,poetically death
