abandon,freedom from artificial constraint
receiver,one who takes or receives in any manner
reception,the state of being received
recess,a decree of the imperial diet of the old german empire
recess,"intermission , as of a legislative body , court , or school"
recess,seclusion
recital,"a telling in detail and due order of the particulars of anything , as of a law , an adventure , or a series of events"
reckoning,"settlement of obligations , liabilities , etc"
recognition,notice
recognition,"the act of recognizing , or the state of being recognized"
recollection,reminiscence
recollection,reminiscence
recompense,requital
reconciliation,harmony
reconciliation,reduction to congruence or consistency
reconciliation,renewal of friendship
reconciliation,restoration to harmony
record,"an official contemporaneous writing by which the acts of some public body , or public officer , are recorded"
record,"a writing by which some act or event , or a number of acts or events , is recorded"
recourse,access or application for aid
recourse,"recurrence in difficulty , perplexity , need , or the like"
recourse,resort
recreation,refreshment of the strength and spirits after toil
redress,remedy
reference,a specific direction of the attention
reflection,an image given back from a reflecting surface
reflection,"the capacity for judging rationally , especially in view of a moral rule or standard"
reflection,"the return of rays , beams , sound , or the like , from a surface"
reform,"amendment of what is defective , vicious , corrupt , or depraved"
refrain,the burden of a song
refreshment,new life or animation after depression
refreshment,"restoration of strength , spirit , vigor , or liveliness"
refuge,an expedient to secure protection or defense
refuge,shelter or protection from danger or distress
refusal,the right of taking in preference to others
regard,a look
regard,observation
regard,reverence
region,province
register,"a certificate issued by the collector of customs of a port or district to the owner of a vessel , containing the description of a vessel , its name , ownership , and other material facts"
regret,a mourning on account of the loss of some joy advantage or satisfaction
regret,"pain of mind on account of something done or experienced in the past , with a wish that it had been different"
regret,sorrow
regulation,a rule or order prescribed for management or government
reign,"the time during which a king , queen , or emperor possesses the supreme authority"
rein,"the strap of a bridle , fastened to the curb or snaffle on each side , by which the rider or driver governs the horse"
rejection,"act of rejecting , or state of being rejected"
relation,connection
relation,narrative
relation,regard
relation,respect
relative,a relation
release,"liberation or discharge from restraint of any kind , as from confinement or bondage"
relic,anything preserved in remembrance
relic,a remnant
relief,redress
relief,the person who relieves from performance of duty by taking the place of another
religion,a monastic or religious order subject to a regulated mode of life
religious,a monk or friar
religious,a nun
religious,"a person bound by monastic vows , or sequestered from secular concern , and devoted to a life of piety and religion"
relish,a taste for
relish,flavor that gratifies the palate
reluctance,aversion of mind
reluctance,repugnance
remainder,residue
remainder,"the quantity or sum that is left after subtraction , or after any deduction"
remain,"the posthumous works or productions , especially literary works , of one who is dead"
