abandon,freedom from artificial constraint
pour,a flood
poverty,the quality or state of being poor or indigent
powder,dust
power,"strength , force , or energy in action"
practice,usage
prairie,a meadow or tract of grass
praise,the joyful tribute of gratitude or homage rendered to the divine being
prayer,the form of words used in praying
preaching,a public religious discourse
precaution,a measure taken beforehand to ward off evil or secure good or success
precedent,an authoritative example
precipice,a cliff
precipitate,same as precipitation { 5
precision,exactness
predecessor,"one whom another follows or comes after , in any office or position"
preface,"something spoken as introductory to a discourse , or written as introductory to a book or essay"
preference,the object of choice or superior favor
prejudice,mischief
preliminary,"that which precedes the main discourse , work , design , or business"
preparation,fitness
presence,"the part of space within one ' s ken , call , influence , etc"
presentation,appearance
present,"” -- in this sense , rarely used in the singular"
preservation,safety
preserve,"a place in which game , fish , etc"
president,"the chief officer of a corporation , company , institution , society , or the like"
press,"a commission to force men into public service , particularly into the navy"
pressure,affliction
prestige,expectation of future achievements founded on those already accomplished
pretext,ostensible reason or motive assigned or assumed as a color or cover for the real reason or motive
prey,"anything , as goods , etc"
price,"that for which something is bought or sold , or offered for sale"
pride,proud or disdainful behavior or treatment
priesthood,the order of men set apart for sacred offices
priest,one who belongs to the intermediate order between bishop and deacon
primary,one of the large feathers on the distal joint of a bird ' s wing
prime,youth
primitive,an original or primary word
prince,one holding the highest place and authority
princess,the consort of a prince
principal,"one who acts independently , or who has controlling authority or influence"
principle,primordial substance
print,a mark made by impression
printing,the act of producing photographic prints
prior,"the superior of a priory , and next below an abbot in dignity"
prison,a place or state o � confinement restraint or safe custody
prisoner,a captive
privacy,retreat
private,a soldier below the grade of a noncommissioned officer
privilege,franchise
prize,something captured
probability,likelihood
procedure,conduct
proceeding,"the act of one who proceeds , or who prosecutes a design or transaction"
procession,a ceremonious train
process,progress
proclamation,the act of proclaiming
produce,agricultural products
production,the act of lengthening out or prolonging
product,the number resulting from the multiplication of two or more numbers
professional,"a person who prosecutes anything professionally , or for a livelihood , and not in the character of an amateur"
profession,vocation
profile,"an outline , or contour"
profit,emolument
profound,the sea
profusion,exuberant plenty
progress,in the growth of an animal or plant
prohibition,the act of prohibiting
project,that which is projected or designed
promotion,the act of exalting in rank or honor
prompt,"a limit of time given for payment of an account for produce purchased , this limit varying with different goods"
